min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_ Amer-Indian-Eskimo,recall_group_ Asian-Pac-Islander,recall_group_ Black,recall_group_ Other,recall_group_ White,threshold,iteration
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6161616161616162,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6262626262626263,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6363636363636365,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6464646464646465,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6565656565656566,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6767676767676768,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.686868686868687,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.696969696969697,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7070707070707072,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7171717171717172,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7373737373737375,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7474747474747475,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7575757575757577,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7676767676767677,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.787878787878788,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.797979797979798,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8080808080808082,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8282828282828284,1
0.9090909090909091,0.09090909090909094,0.5355241605241605,0.3394629305312318,0.9952931108258452,0.22620380739081747,0.9090909090909091,0.9878048780487805,0.9911504424778761,1.0,0.9962281942479962,0.8383838383838385,1
0.7272727272727273,0.2727272727272727,0.6162981162981163,0.3832533509846103,0.9910141206675225,0.29820500324886295,0.7272727272727273,0.9878048780487805,0.9911504424778761,1.0,0.9924563884959925,0.8484848484848485,1
0.7272727272727273,0.2727272727272727,0.6571457821457821,0.40980392156862744,0.983739837398374,0.29576835607537366,0.7272727272727273,0.9878048780487805,0.9734513274336283,1.0,0.9853842527109854,0.8585858585858587,1
0.7272727272727273,0.2727272727272727,0.6848894348894349,0.43031784841075793,0.979032948224219,0.29004223521767386,0.7272727272727273,0.975609756097561,0.9734513274336283,1.0,0.9806694955209807,0.8686868686868687,1
0.7272727272727273,0.25009643821525007,0.7051597051597052,0.44675426554226316,0.9747539580658965,0.30157569850552307,0.7272727272727273,0.975609756097561,0.9557522123893806,0.9,0.9773691654879774,0.8787878787878789,1
